Weergave_Naam,Locatie,Kaartweergave,Categorie,Aflevering,Waarde,Latitude,Longitude,Link
Mongolië,Mongolia,Land,Reguliere aflevering,Afl. 44,1,46.8625,103.8467,https://www.grotepodcastlas.nl/aflevering/mongolie
Bosnië-Herzegovina,Bosnia and Herzegovina,Land,Reguliere aflevering,Afl. 45,1,43.9159,17.6791,https://www.grotepodcastlas.nl/aflevering/bosnie-herzegovina
Peru,Peru,Land,Reguliere aflevering,Afl. 46,1,-9.19,-75.0152,https://www.grotepodcastlas.nl/aflevering/peru
Djibouti,Djibouti,Land,Reguliere aflevering,Afl. 47,1,11.8251,42.5903,https://www.grotepodcastlas.nl/aflevering/djibouti
Maleisië,Malaysia,Land,Reguliere aflevering,Afl. 48,1,4.2105,101.9758,https://www.grotepodcastlas.nl/aflevering/maleisie
New York City,New York City,Punt,Wereldstad,Wereldstad #1,1,40.71,-74.0,https://www.grotepodcastlas.nl/aflevering/new-york-city
Moskou,Moscow,Punt,Wereldstad,Wereldstad #2,1,55.75,37.61,https://www.grotepodcastlas.nl/aflevering/moskou
Cyprus,Cyprus,Land,Reguliere aflevering,Afl. 49,1,35.1264,33.4299,https://www.grotepodcastlas.nl/aflevering/cyprus
Zuid-Afrika,South Africa,Land,Reguliere aflevering,Afl. 50,1,-30.5595,22.9375,https://www.grotepodcastlas.nl/aflevering/zuid-afrika
Armenië,Armenia,Land,Reguliere aflevering,Afl. 51,1,40.0691,45.0382,https://www.grotepodcastlas.nl/aflevering/armenie
Drenthe,Drenthe,Punt,Provincie,Provincie #1,1,52.84,6.62,https://www.grotepodcastlas.nl/aflevering/drenthe
Noord-Holland,North Holland,Punt,Provincie,Provincie #2,1,52.64,4.88,https://www.grotepodcastlas.nl/aflevering/noord-holland
Limburg,Limburg,Punt,Provincie,Provincie #3,1,51.21,5.82,https://www.grotepodcastlas.nl/aflevering/limburg
Overijssel,Overijssel,Punt,Provincie,Provincie #4,1,52.43,6.32,https://www.grotepodcastlas.nl/aflevering/overijssel
Zeeland,Zeeland,Punt,Provincie,Provincie #5,1,51.49,3.84,https://www.grotepodcastlas.nl/aflevering/zeeland
Friesland,Friesland,Punt,Provincie,Provincie #6,1,53.16,5.79,https://www.grotepodcastlas.nl/aflevering/friesland
Noord-Brabant,North Brabant,Punt,Provincie,Provincie #7,1,51.48,5.23,https://www.grotepodcastlas.nl/aflevering/noord-brabant
Groningen,Groningen,Punt,Provincie,Provincie #8,1,53.21,6.56,https://www.grotepodcastlas.nl/aflevering/groningen
Gelderland,Gelderland,Punt,Provincie,Provincie #9,1,52.04,5.89,https://www.grotepodcastlas.nl/aflevering/gelderland
Zuid-Holland,South Holland,Punt,Provincie,Provincie #10,1,51.92,4.48,https://www.grotepodcastlas.nl/aflevering/zuid-holland
Flevoland,Flevoland,Punt,Provincie,Provincie #11,1,52.52,5.59,https://www.grotepodcastlas.nl/aflevering/flevoland
Utrecht,Utrecht,Punt,Provincie,Provincie #12,1,52.09,5.12,https://www.grotepodcastlas.nl/aflevering/utrecht
Turkije,Turkey,Land,Reguliere aflevering,Afl. 52,1,38.9637,35.2433,https://www.grotepodcastlas.nl/aflevering/turkije
Mali,Mali,Land,Reguliere aflevering,Afl. 53,1,17.5707,-3.9962,https://www.grotepodcastlas.nl/aflevering/mali
Panama,Panama,Land,Reguliere aflevering,Afl. 54,1,8.538,-80.7821,https://www.grotepodcastlas.nl/aflevering/panama
Malta,Malta,Land,Reguliere aflevering,Afl. 55,1,35.9375,14.3754,https://www.grotepodcastlas.nl/aflevering/malta
Chili,Chile,Land,Reguliere aflevering,Afl. 56,1,-35.6751,-71.543,https://www.grotepodcastlas.nl/aflevering/chili
Sao Tomé en Principe,Sao Tome and Principe,Land,Reguliere aflevering,Afl. 57,1,0.1864,6.6131,https://www.grotepodcastlas.nl/aflevering/sao-tome-en-principe
Jemen,Yemen,Land,Reguliere aflevering,Afl. 58,1,15.5527,48.5164,https://www.grotepodcastlas.nl/aflevering/jemen
Italië,Italy,Land,Reguliere aflevering,Afl. 59,1,41.8719,12.5674,https://www.grotepodcastlas.nl/aflevering/italie
Grenada,Grenada,Land,Reguliere aflevering,Afl. 60,1,12.1165,-61.679,https://www.grotepodcastlas.nl/aflevering/grenada
Myanmar,Myanmar,Land,Reguliere aflevering,Afl. 61,1,21.9162,95.956,https://www.grotepodcastlas.nl/aflevering/myanmar
Oeganda,Uganda,Land,Reguliere aflevering,Afl. 62,1,1.3733,32.2903,https://www.grotepodcastlas.nl/aflevering/oeganda
Vanuatu,Vanuatu,Land,Reguliere aflevering,Afl. 63,1,-15.3767,166.9592,https://www.grotepodcastlas.nl/aflevering/vanuatu
Canada,Canada,Land,Reguliere aflevering,Afl. 64,1,56.1304,-106.3468,https://www.grotepodcastlas.nl/aflevering/canada
Namibië,Namibia,Land,Reguliere aflevering,Afl. 65,1,-22.9576,18.4904,https://www.grotepodcastlas.nl/aflevering/namibie
Roemenië,Romania,Land,Reguliere aflevering,Afl. 66,1,45.9432,24.9668,https://www.grotepodcastlas.nl/aflevering/roemenie
Saint Lucia,Saint Lucia,Land,Reguliere aflevering,Afl. 67,1,13.9094,-60.9789,https://www.grotepodcastlas.nl/aflevering/saint-lucia
Hongkong,Hong Kong,Punt,Wereldstad,Wereldstad #3,1,22.31,114.16,https://www.grotepodcastlas.nl/aflevering/hongkong
Parijs,Paris,Punt,Wereldstad,Wereldstad #4,1,48.85,2.35,https://www.grotepodcastlas.nl/aflevering/parijs
Guinee,Guinea,Land,Reguliere aflevering,Afl. 68,1,9.9456,-9.6966,https://www.grotepodcastlas.nl/aflevering/guinee
Marshalleilanden,Marshall Islands,Land,Reguliere aflevering,Afl. 69,1,7.1315,171.1845,https://www.grotepodcastlas.nl/aflevering/marshalleilanden
Japan,Japan,Land,Reguliere aflevering,Afl. 70,1,36.2048,138.2529,https://www.grotepodcastlas.nl/aflevering/japan
Engeland,England,Punt,Reguliere aflevering,Afl. 71,1,52.35,-1.17,https://www.grotepodcastlas.nl/aflevering/engeland
Wales,Wales,Punt,Reguliere aflevering,Afl. 72,1,52.13,-3.78,https://www.grotepodcastlas.nl/aflevering/wales
Noord-Ierland,Northern Ireland,Punt,Reguliere aflevering,Afl. 73,1,54.78,-6.49,https://www.grotepodcastlas.nl/aflevering/noord-ierland
Schotland,Scotland,Punt,Reguliere aflevering,Afl. 74,1,56.49,-4.2,https://www.grotepodcastlas.nl/aflevering/schotland
Somalië,Somalia,Land,Reguliere aflevering,Afl. 75,1,5.1521,46.1996,https://www.grotepodcastlas.nl/aflevering/somalie
Nepal,Nepal,Land,Reguliere aflevering,Afl. 76,1,28.3949,84.124,https://www.grotepodcastlas.nl/aflevering/nepal
Belize,Belize,Land,Reguliere aflevering,Afl. 77,1,17.1899,-88.4976,https://www.grotepodcastlas.nl/aflevering/belize
Slowakije,Slovakia,Land,Reguliere aflevering,Afl. 78,1,48.669,19.699,https://www.grotepodcastlas.nl/aflevering/slowakije
Mozambique,Mozambique,Land,Reguliere aflevering,Afl. 79,1,-18.6657,35.5296,https://www.grotepodcastlas.nl/aflevering/mozambique
Caïro,Cairo,Punt,Wereldstad,Wereldstad #5,1,30.04,31.23,https://www.grotepodcastlas.nl/aflevering/cairo
Mumbai,Mumbai,Punt,Wereldstad,Wereldstad #6,1,19.07,72.87,https://www.grotepodcastlas.nl/aflevering/mumbai
Papoea-Nieuw-Guinea,Papua New Guinea,Land,Reguliere aflevering,Afl. 80,1,-6.3149,143.9555,https://www.grotepodcastlas.nl/aflevering/papoea-nieuw-guinea
Liechtenstein,Liechtenstein,Land,Reguliere aflevering,Afl. 81,1,47.166,9.5554,https://www.grotepodcastlas.nl/aflevering/liechtenstein
Ivoorkust,Cote d'Ivoire,Land,Reguliere aflevering,Afl. 82,1,7.54,-5.5471,https://www.grotepodcastlas.nl/aflevering/ivoorkust
Uruguay,Uruguay,Land,Reguliere aflevering,Afl. 83,1,-32.5228,-55.7658,https://www.grotepodcastlas.nl/aflevering/uruguay
Irak,Iraq,Land,Reguliere aflevering,Afl. 84,1,33.2232,43.6793,https://www.grotepodcastlas.nl/aflevering/irak
Equatoriaal-Guinea,Equatorial Guinea,Land,Reguliere aflevering,Afl. 85,1,1.6508,10.2679,https://www.grotepodcastlas.nl/aflevering/equatoriaal-guinea
Estland,Estonia,Land,Reguliere aflevering,Afl. 86,1,58.5953,25.0136,https://www.grotepodcastlas.nl/aflevering/estland
Taiwan,Taiwan,Land,Reguliere aflevering,Afl. 87,1,23.6978,120.9605,https://www.grotepodcastlas.nl/aflevering/taiwan
Algerije,Algeria,Land,Reguliere aflevering,Afl. 88,1,28.0339,1.6596,https://www.grotepodcastlas.nl/aflevering/algerije
Tonga,Tonga,Land,Reguliere aflevering,Afl. 89,1,-21.179,-175.1982,https://www.grotepodcastlas.nl/aflevering/tonga
Turkmenistan,Turkmenistan,Land,Reguliere aflevering,Afl. 90,1,38.9697,59.5563,https://www.grotepodcastlas.nl/aflevering/turkmenistan
Burundi,Burundi,Land,Reguliere aflevering,Afl. 91,1,-3.3731,29.9189,https://www.grotepodcastlas.nl/aflevering/burundi
Griekenland,Greece,Land,Reguliere aflevering,Afl. 92,1,39.0742,21.8243,https://www.grotepodcastlas.nl/aflevering/griekenland
Bahama's,Bahamas,Land,Reguliere aflevering,Afl. 93,1,25.0343,-77.3963,https://www.grotepodcastlas.nl/aflevering/bahama-s
Burkina Faso,Burkina Faso,Land,Reguliere aflevering,Afl. 94,1,12.2383,-1.5616,https://www.grotepodcastlas.nl/aflevering/burkina-faso
Luxemburg,Luxembourg,Land,Reguliere aflevering,Afl. 95,1,49.8153,6.1296,https://www.grotepodcastlas.nl/aflevering/luxemburg
Cambodja,Cambodia,Land,Reguliere aflevering,Afl. 96,1,12.5657,104.991,https://www.grotepodcastlas.nl/aflevering/cambodja
Mauritius,Mauritius,Land,Reguliere aflevering,Afl. 97,1,-20.3484,57.5522,https://www.grotepodcastlas.nl/aflevering/mauritius
Ethiopië,Ethiopia,Land,Reguliere aflevering,Afl. 98,1,9.145,40.4897,https://www.grotepodcastlas.nl/aflevering/ethiopie
Europa,Europe,Punt,Werelddeel,Werelddeel #1,1,54.52,15.25,https://www.grotepodcastlas.nl/aflevering/europa
Jamaica,Jamaica,Land,Reguliere aflevering,Afl. 99,1,18.1096,-77.2975,https://www.grotepodcastlas.nl/aflevering/jamaica
Bhutan,Bhutan,Land,Reguliere aflevering,Afl. 100,1,27.5142,90.4336,https://www.grotepodcastlas.nl/aflevering/bhutan
Servië,Serbia,Land,Reguliere aflevering,Afl. 101,1,44.0165,21.0059,https://www.grotepodcastlas.nl/aflevering/servie
